independent_epochs,coverage,sensitivity,frequency_drift_coverage,scintillation_detection_probability,duty_cycle_95pct_upper
3,0.25,0.8,0.8,0.9682539682539683,1.0
3,0.5,0.8,0.8,0.9682539682539683,1.0
3,0.75,0.8,0.8,0.9682539682539683,1.0
3,1.0,0.8,0.8,0.9682539682539683,1.0
5,0.25,0.8,0.8,0.9682539682539683,1.0
5,0.5,0.8,0.8,0.9682539682539683,1.0
5,0.75,0.8,0.8,0.9682539682539683,0.9697863007464919
5,1.0,0.8,0.8,0.9682539682539683,0.7273397255598689
10,0.25,0.8,0.8,0.9682539682539683,1.0
10,0.5,0.8,0.8,0.9682539682539683,0.8354779562634367
10,0.75,0.8,0.8,0.9682539682539683,0.5569853041756244
10,1.0,0.8,0.8,0.9682539682539683,0.41773897813171834
20,0.25,0.8,0.8,0.9682539682539683,0.8979329366906458
20,0.5,0.8,0.8,0.9682539682539683,0.4489664683453229
20,0.75,0.8,0.8,0.9682539682539683,0.29931097889688196
20,1.0,0.8,0.8,0.9682539682539683,0.22448323417266144
50,0.25,0.8,0.8,0.9682539682539683,0.3753862688902922
50,0.5,0.8,0.8,0.9682539682539683,0.1876931344451461
50,0.75,0.8,0.8,0.9682539682539683,0.12512875629676407
50,1.0,0.8,0.8,0.9682539682539683,0.09384656722257305
