scintillation_timescale_s,field_correlation,probability_second_below_1sigma,median_second_to_first_intensity,p05_second_to_first_intensity
10.0,3.2663747930569874e-08,0.031164,0.9993381431096139,0.05352619584172391
20.0,0.0001807311482024332,0.03118,0.999368089688643,0.05352072266703031
30.0,0.003196602772613942,0.031196,0.9990862251321042,0.05352099878134818
50.0,0.0318282824259559,0.031248,0.9995013313460952,0.05394628708572716
75.0,0.10043277641671039,0.030992,1.0007833155083037,0.05394548247180042
100.0,0.1784048273616942,0.030468,1.00253138980306,0.05495300530450159
150.0,0.3169113068615735,0.028664,1.0038807043142848,0.058215091354267647
200.0,0.4223799561552302,0.0262,1.0032339909245223,0.06331067281717265
300.0,0.5629487604228057,0.022188,1.0036740396393835,0.07448126564379397
450.0,0.6817825971638521,0.01804,1.0058584329734606,0.09053684649297128
600.0,0.7502991139690928,0.015076,1.0063893611689598,0.1061670021508048
900.0,0.8257012759853604,0.011084,1.0046835685830926,0.1355673551321377
