independent_epochs,steady_all_miss_probability
1,0.031746031746031744
2,0.0010078105316200553
3,3.1993985130795404e-05
4,1.0156820676442985e-06
5,3.224387516331106e-08
6,1.0236150845495575e-09
7,3.249571696982722e-11
8,1.0316100625341975e-12
9,3.2749525794736426e-14
10,1.0396674855471879e-15
11,3.300531700149803e-17
12,1.0477878413173976e-18
13,3.326310607356818e-20
14,1.0559716213831167e-21
15,3.3522908615337035e-23
16,1.0642193211218106e-24
17,3.378474035307335e-26
18,1.0725314397801064e-27
19,3.404861713587639e-29
20,1.0809084805040122e-30
21,3.431455493663531e-32
22,1.0893509503693748e-33
23,3.4582569852996027e-35
24,1.0978593604125723e-36
25,3.4852678108335625e-38
26,1.1064342256614482e-39
27,3.5124896052744386e-41
28,1.1150760651664884e-42
29,3.5399240164015506e-44
30,1.1237854020322382e-45
31,3.5675727048642477e-47
32,1.1325627634489676e-48
33,3.5954373442824364e-50
34,1.1414086807245829e-51
35,3.6235196213478823e-53
36,1.1503236893167878e-54
37,3.6518212359263106e-56
38,1.1593083288654953e-57
39,3.6803439011603024e-59
40,1.1683631432254928e-60
41,3.709089343572993e-62
42,1.1774886804993627e-63
43,3.73805930317258e-65
44,1.1866854930706603e-66
45,3.767255533557651e-68
46,1.1959541376373496e-69
47,3.7966798020233314e-71
48,1.205295175245502e-72
49,3.8263338896682605e-74
50,1.214709171323257e-75
51,3.856219591502404e-77
52,1.2241966957150487e-78
53,3.8863387165557096e-80
54,1.2337583227160983e-81
55,3.916693087987613e-83
56,1.2433946311071788e-84
57,3.947284543197393e-86
58,1.2531062041896484e-87
59,3.978114933935392e-89
60,1.2628936298207592e-90
